,Source,Model,Loss Type,Final Loss,STFT hop_length,STFT window_length,STFT window_type,Model activation,Model bidirectional,Model dropout,Model hidden_size,Model num_audio_channels,Model num_layers,Model num_sources,Optimizer lr,Epochs,Epoch Length,Train Coherent Fraction,Batch Size,Test Size,Test Length,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR,Model hop_length,Model num_filters,Model window_type,Model num_features,Model init_features,Model logscale
10,vocals,Filterbank,L2,0.0039980364963412285,,,,sigmoid,True,0.3,64.0,1,2.0,1,0.005,25,25,0.85,10,50,5,-29.56378078182365,300.4395979476926,-29.56378078182365,-35.03837744654465,-2.5959962164913484,-32.19674494876786,-321.0885943793407,-inf,-inf,291.52481359751704,inf,inf,128.0,512.0,sqrt_hann,512.0,,
11,bass,Filterbank,L2,0.4137054979801178,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.005,25,25,0.85,10,50,5,-22.604498363081884,-3.2535666333466495,-22.49723259424478,-22.752317823962535,-14.886426480034512,-2.936167021667367,-15.446694880226858,-15.590966170854381,-7.765184672653964,-7.157803482855026,-7.161351653108153,-7.121241807380548,128.0,512.0,sqrt_hann,512.0,,
12,drums,Filterbank,L2,0.4137054979801178,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.005,25,25,0.85,10,50,5,-21.92356208541477,-1.130467189376105,-21.84434139747041,-22.078302404880567,-12.876074994156749,-5.377108418231406,-16.882901736473098,-17.036494343591826,-7.787704437366186,-5.040660348941668,-5.041808061288743,-5.088370556790563,128.0,512.0,sqrt_hann,512.0,,
13,other,Filterbank,L2,0.4137054979801178,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.005,25,25,0.85,10,50,5,-21.94669589631083,-1.3021688788945922,-21.881866494725102,-22.217777179689257,-13.017828702281236,-5.185616809806762,-17.1625346514402,-17.430922867496356,-8.13843809543558,-4.78416124487063,-4.786854312192899,-4.8793906068456545,128.0,512.0,sqrt_hann,512.0,,
14,vocals,Filterbank,L2,0.4137054979801178,,,,"['sigmoid', 'unit_norm']",True,0.2,256.0,1,3.0,4,0.005,25,25,0.85,10,50,5,-26.86456192546192,-2.3165620646583793,-26.83705391252239,-26.97049893695486,-15.977940761075871,-7.793329757660158,-17.60324250778476,-17.708769619202506,-6.732969785817673,-9.261319417677159,-9.261729317752355,-9.244970975258198,128.0,512.0,sqrt_hann,512.0,,
15,vocals,UNet,L1,0.00032302114414051175,512.0,2047.0,sqrt_hann,,,,,1,,1,0.001,25,25,0.85,10,50,5,-2.04060008220502,303.9792806596427,-2.0406000822050196,-3.1839066745818925,0.9932304895051668,11.275193193941082,-293.56541367972204,-inf,-inf,291.52481359751704,inf,inf,,,,,16.0,True
16,bass,UNet,L1,0.00023639485880266875,512.0,2047.0,sqrt_hann,,,,,1,,4,0.001,25,25,0.85,10,50,5,-5.112722015686489,-1.1530466358163913,-1.823789229253072,-6.238418188850156,-0.03037758155331103,6.796706249193628,2.0450814671685356,0.9229334642579975,7.090864225827237,-7.157803482855026,-7.161351653108153,-7.121241807380548,,,,,16.0,True
17,drums,UNet,L1,0.00023639485880266875,512.0,2047.0,sqrt_hann,,,,,1,,4,0.001,25,25,0.85,10,50,5,1.270735626967533,6.645109075505806,3.348105955777541,-1.0066895597670231,3.241260595035721,7.068067356977197,6.311395975909202,4.03511850152172,8.329631151826286,-5.040660348941668,-5.041808061288743,-5.088370556790563,,,,,16.0,True
18,other,UNet,L1,0.00023639485880266875,512.0,2047.0,sqrt_hann,,,,,1,,4,0.001,25,25,0.85,10,50,5,-3.543621528021686,-0.1374064882615233,0.2432187719971516,-5.78445514244718,0.5467678303522955,2.217473328974463,1.2405397168489454,-0.9976008302542814,5.42615843719795,-4.78416124487063,-4.786854312192899,-4.8793906068456545,,,,,16.0,True
19,vocals,UNet,L1,0.00023639485880266875,512.0,2047.0,sqrt_hann,,,,,1,,4,0.001,25,25,0.85,10,50,5,-4.623523259147584,-1.464231973730819,-1.0282122604069084,-21.843143352004418,0.427794821988306,-21.507606938938828,4.637796158529575,-12.581414034252063,9.672765797246502,-9.261319417677159,-9.261729317752355,-9.244970975258198,,,,,16.0,True
